tts_sysno,c_textid,c_personid,c_role_id,c_year,c_nh_code,c_nh_year,c_range_code,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
114,2031,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,HUWHS,20140106
116,2032,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
117,2033,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
119,2035,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
148,2064,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
150,2066,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
151,2067,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
155,2070,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
156,2071,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
159,2074,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
161,2075,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
167,2079,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
183,2095,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
188,2100,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
202,2114,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
206,2118,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
208,2120,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
212,2124,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
214,2126,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
219,2131,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
220,2132,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
229,2141,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
231,2144,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
234,2146,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
235,2147,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
240,2152,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
244,2156,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
245,2157,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
247,2159,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
252,2164,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
253,2165,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
272,2186,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
292,2189,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
293,2190,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
298,2195,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
299,2196,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
302,2199,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
306,2203,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
307,2204,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
312,2209,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
316,2214,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
317,2215,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
318,2216,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
319,2217,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
320,2218,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
321,2219,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
322,2220,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
323,2221,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
324,2222,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
325,2223,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
326,2224,0,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
